InitialMass,MeltTemp,EndState,FinalMass,FinalAlt,FinalVel,FinalLat,FinalLon
262,1160,impact,39.53,0,0.014,-76.326,-59.811
262,1210,impact,55.494,0,0.017,-76.226,-58.259
262,1260,impact,75.387,0,0.019,-76.13,-56.924
262,1310,impact,99.623,0,0.022,-76.043,-55.781
262,1360,impact,128.547,0,0.025,-75.963,-54.813
272,810,demise,0.715,80.131,2.479,-42.6,1.502
272,860,demise,1.808,78.288,2.673,-41.939,1.753
272,910,demise,3.74,76.393,2.842,-41.324,1.981
272,960,impact,6.97,0,0.006,-40.222,2.347
272,1010,impact,11.955,0,0.008,-39.609,2.563
272,1060,impact,19.161,0,0.01,-39.063,2.751
272,1110,impact,29.085,0,0.012,-38.582,2.914
272,1160,impact,42.204,0,0.014,-38.158,3.055
272,1210,impact,58.979,0,0.017,-37.786,3.178
272,1260,impact,79.858,0,0.02,-37.462,3.283
272,1310,impact,105.213,0,0.023,-37.182,3.373
272,1360,impact,135.434,0,0.026,-36.942,3.449
282,810,demise,0.722,80.195,2.582,-25.838,6.305
282,860,demise,1.862,78.353,2.829,-25.14,6.466
282,910,demise,3.874,76.355,2.834,-24.473,6.618
282,960,impact,7.253,0,0.006,-23.292,6.852
282,1010,impact,12.446,0,0.008,-22.656,6.994
282,1060,impact,19.976,0,0.01,-22.093,7.119
282,1110,impact,30.347,0,0.012,-21.597,7.228
282,1160,impact,44.043,0,0.015,-21.162,7.322
282,1210,impact,61.528,0,0.017,-20.783,7.404
282,1260,impact,83.231,0,0.02,-20.453,7.475
282,1310,impact,109.588,0,0.023,-20.169,7.535
282,1360,impact,140.925,0,0.027,-19.926,7.587
292,810,demise,0.829,79.929,2.648,-20.066,7.427
292,860,demise,2.078,78.004,2.767,-19.347,7.576
292,910,impact,4.291,0,0.005,-18.179,7.781
292,960,impact,7.968,0,0.006,-17.464,7.928
292,1010,impact,13.593,0,0.008,-16.83,8.057
292,1060,impact,21.688,0,0.01,-16.271,8.17
292,1110,impact,32.754,0,0.013,-15.78,8.269
292,1160,impact,47.274,0,0.015,-15.351,8.354
292,1210,impact,65.714,0,0.018,-14.977,8.428
292,1260,impact,88.516,0,0.021,-14.653,8.492
292,1310,impact,116.09,0,0.024,-14.375,8.546
292,1360,impact,148.761,0,0.027,-14.138,8.593
